"Pregunta_1","Pregunta_2","Pregunta_3","Pregunta_4","Pregunta_5","Pregunta_6","Pregunta_7","Pregunta_8","Pregunta_9","Pregunta_10","Pregunta_11","Pregunta_12","Pregunta_13","Pregunta_14","Pregunta_15","Pregunta_16","Pregunta_17"
9/17/2025 20:35:23,"18–24","Zona urbana","Internet residencial","Básico","Llamada telefónica","Más de 1 vez por mes","Baja velocidad / Intermitencia","Nos dijeron que no habíamos pagado, y un día antes cayó notificación de pago exitoso ","No","Menos de 1 hora","No apliqué mensajería",3,"Sí, volvería a contactar al servicio de atención al cliente.",,"Pues un buen tiempo
Se llama
Se espera
Nos conectan
Se explica el problema
Nos dicen que no hemos pagado
Se dan datos pa decir que si se ha pagado
Revisa
Dicen que arreglaran el problema
","Intermitencia / desconexiones frecuentes"
9/17/2025 20:36:47,"18–24","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","Más de 1 vez por mes","Baja velocidad / Intermitencia","Reemplazo de equipo / recolección en sucursal","Sí","1–3 días","No apliqué mensajería",4,"Depende del costo/urgencia.","Menos de 1 hora",,"Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Largos tiempos de espera para atención telefónica"
9/17/2025 20:38:39,"18–24","Zona urbana","Internet residencial, Telefonía fija","Avanzado","Llamada telefónica","Menos de 1 vez al año","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","Menos de 1 hora","Agente humano",5,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente","Problemas de Fallo en el Internet se iba cada vez seguido durante un par de días","Sin servicio / corte total, Largos tiempos de espera para atención telefónica"
9/17/2025 20:41:25,"18–24","Zona urbana","Internet residencial","Avanzado","Llamada telefónica","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","Menos de 1 hora","No apliqué mensajería",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Vi el corte de internet, paso un dia, llamamos","Sin servicio / corte total, Velocidad inferior a lo contratado"
9/17/2025 20:44:58,"18–24","Zona urbana","Internet residencial","Básico","Llamada telefónica","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","No apliqué mensajería",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Llamé a la linea, me comunique con el personal, me indicaron que esperara unos minutos, el problema se resolvió","Sin servicio / corte total, Intermitencia / desconexiones frecuentes"
9/17/2025 20:45:20,"55–64","Zona urbana","Internet residencial","Intermedio","Chat en sitio web","Más de 1 vez por mes","Fallo en equipo (router, módem)","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","Bot",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas",,"Intermitencia / desconexiones frecuentes"
9/17/2025 20:45:34,"18–24","Zona urbana","Internet residencial","Intermedio","Mensajería (WhatsApp u otro)","Nunca","por el momento no he tenido mayor inconveniente para decidir contactar",,"No",,"No apliqué mensajería",5,"Depende del costo/urgencia.","Más de 1 semana",,"Problemas de facturación / cobros erróneos"
9/17/2025 20:46:44,"18–24","Zona urbana","Internet residencial","Básico","Mensajería (WhatsApp u otro)","1 vez cada 1–3 meses","Problema de facturación / cobro incorrecto","Compensación / ajuste en factura","No","1–24 horas","Agente humano",4,"Depende del costo/urgencia.","Inmediatamente","Primeramente me respondió un chat bot, hasta que transfirió el chat a un agente humano quien realizó el seguimiento hasta la solución ","Desde junio estoy con esta empresa y de momento solo he contactado una vez por problema en la facturación"
9/17/2025 20:48:52,"25–34","Zona urbana","Internet residencial, Telefonía móvil","Avanzado","Mensajería (WhatsApp u otro)","Menos de 1 vez al año","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","Agente humano",4,"No, intentaré repararlo por mi cuenta antes de contactar.","Menos de 1 hora","Reportar vía WhatsApp, seleccionar opción de menú en bot, buscar la opción de atención a través de un agente, explicación del caso y resolución. ","Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/17/2025 20:49:07,"25–34","Zona urbana","Internet residencial, Telefonía móvil","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora",,"Sin servicio / corte total, Velocidad inferior a lo contratado"
9/17/2025 20:50:03,"25–34","Zona urbana","Internet residencial, Telefonía móvil","Avanzado","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Problema con línea móvil / datos","Solución remota resuelta (configuración, reinicio, instrucción)","No","Menos de 1 hora","Agente humano",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","1. Iniciar solicitud por medio del WhatsApp
2. Recibir atención
3. Describir caso para recibir soporte
4. Entregar evidencia de hallazgo
5. Recibir instrucciones para diagnóstico
6. Aplicación de configuraciones requeridas dadas por analista
7. Recibir solución 
8. Llenar encuesta de calidad de servicio","Velocidad inferior a lo contratado, Problemas de facturación / cobros erróneos, Problemas de configuración de equipos en casa"
9/17/2025 20:50:32,"25–34","Zona rural","Internet residencial","Básico","Presencial en sucursal","Menos de 1 vez al año","Problema con línea móvil / datos","Compensación / ajuste en factura","No","Menos de 1 hora","No apliqué mensajería",2,"Depende del costo/urgencia.","Más de 1 semana","Muy poco","Intermitencia / desconexiones frecuentes"
9/17/2025 20:52:40,"18–24","Zona urbana","Internet residencial, Telefonía fija","Básico","Llamada telefónica","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","4–7 días","No apliqué mensajería",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Se llamo a servicio a cliente, nos informaron que lo resolverían, no sucedió, volvimos a llamar, dijeron que vendría un técnico al siguiente día por la tarde, no apareció, se volvió a llamar, vino el técnico, reemplazaron el equipo y se solucionó el problemas ","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Visitas técnicas demoradas o no resuelven"
9/17/2025 20:53:14,"18–24","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","Tal vez","1–3 días","Bot",4,"No, intentaré repararlo por mi cuenta antes de contactar.","1–7 días","Internet lento - llamada - visita técnica con solución ","Sin servicio / corte total, Velocidad inferior a lo contratado, Largos tiempos de espera para atención telefónica"
9/17/2025 20:54:57,"25–34","Zona urbana","Internet residencial","Básico","Mensajería (WhatsApp u otro)","1 vez cada 1–3 meses","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","Menos de 1 hora","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente","Me había quedado sin internet y escribi por chat respondieron dándome solución adecuada para restablecerla internet ","Problemas de facturación / cobros erróneos"
9/17/2025 20:54:59,"25–34","Zona urbana","Internet residencial, Telefonía móvil","Avanzado","Llamada telefónica","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Después que reporté el problema, se me indicó que las fallas eran ocasionadas por la infraestructura que poseen en la zona, así que la indicación que me dieron fue esperar a que los técnicos vinieran a arreglar el problema","Sin servicio / corte total, Velocidad inferior a lo contratado"
9/17/2025 20:55:24,"25–34","Zona urbana","Internet residencial, Telefonía fija","Avanzado","Mensajería (WhatsApp u otro)","1 vez cada 1–3 meses","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","Sí","1–3 días","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Reporté el problema, luego me dieron indicaciones para intentar solucionarlo desde casa, al no funcionar, decidieron enviar a un técnico, el cual vino a los dos días, y empezó con el chequeo desde el poste ","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/17/2025 20:56:12,"25–34","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Intermedio","Llamada telefónica","Menos de 1 vez al año","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","1–3 días",,4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","El router dejo de funcionar, contacte al servicio y me lo reemplazaron ","Velocidad inferior a lo contratado, Largos tiempos de espera para atención telefónica"
9/17/2025 20:56:13,"18–24","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Reemplazo de equipo / recolección en sucursal","Sí","Más de 7 días","Agente humano",3,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora",,"Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/17/2025 20:59:26,"18–24","Zona urbana","Internet residencial","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–3 días","Agente humano",4,"No, intentaré repararlo por mi cuenta antes de contactar.","1–7 días",,"Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Largos tiempos de espera para atención telefónica, Visitas técnicas demoradas o no resuelven"
9/17/2025 20:59:43,"25–34","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Problema de facturación / cobro incorrecto","Compensación / ajuste en factura","No","Menos de 1 hora","No apliqué mensajería",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–7 días","1. Llamar por problemas de internet
2. Un vehiculo habia botado un poste del cableado, indicaron que ya se estaba trabajando en ello.
3. 4 horas depues se reestablecio el servicio automaticamente

","Sin servicio / corte total, Largos tiempos de espera para atención telefónica"
9/17/2025 21:00:43,"18–24","Zona rural","Internet residencial","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","Menos de 1 hora","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Primero reporté el problema por medio de WhatsApp, luego me intentaron dar soluciones remotas que no funcionaron, y ya después me programaron una visita técnica para el siguiente día, y al día siguiente vinieron a la casa y solucionaron el problema en unos minutos.","Sin servicio / corte total"
9/17/2025 21:00:53,"25–34","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","1–3 días","No apliqué mensajería",4,"No, intentaré repararlo por mi cuenta antes de contactar.","1–24 horas",,"Sin servicio / corte total, Largos tiempos de espera para atención telefónica, Visitas técnicas demoradas o no resuelven"
9/17/2025 21:01:08,"18–24","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Avanzado","Mensajería (WhatsApp u otro)","Menos de 1 vez al año","Problema de HW de un enrutador que no mostraba la WlLAN en frecuencia de 5Ghz","Programaron visita técnica (técnico presencial)","Sí","1–3 días","Agente humano",5,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","1-Me percato que la red 5Ghz no aparecía en mis dispositivos
2- Reinicio de fabrica el enrutador para ver si era problema de configuración
3- Al cabo de un día decido contactar al proveedor de servicio
4- Durante la llamada ellos acceden a mi dispositivo lo reinician nuevamente y sigue sin funcionar la Wlan
5- Programan visita técnica dentro de 3 días 
6- Al día 2 vienen y verifican estado del dispositivo y proceden a reemplazarlo","Problemas de configuración de equipos en casa"
9/17/2025 21:03:33,"18–24","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","Menos de 1 vez al año","Baja velocidad / Intermitencia","Reemplazo de equipo / recolección en sucursal","Sí","1–24 horas","No recuerdo",4,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente",,"Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Visitas técnicas demoradas o no resuelven"
9/17/2025 21:06:07,"35–44","Zona urbana","Internet residencial, Telefonía móvil","Avanzado","Mensajería (WhatsApp u otro)","Más de 1 vez por mes","Fallo en equipo (router, módem)","Solución remota resuelta (configuración, reinicio, instrucción)","No","Menos de 1 hora","Bot",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Selección de menú, reporte del problema y luego la solución del mismo","Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Problemas de configuración de equipos en casa"
9/17/2025 21:06:37,"25–34","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","Menos de 1 hora","Agente humano",5,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Se reportó el fallo e inmediatamente se programó una visita técnica después de unos breves minutos en que se explicó sobre el problema presentado, luego se espero el tiempo indica para recibir al técnico y luego se atendió al técnico que revisó y reparó el equipo especificado.","Sin servicio / corte total"
9/17/2025 21:06:55,"25–34","Zona rural","Internet residencial, Telefonía móvil","Avanzado","Presencial en sucursal","Menos de 1 vez al año","Cambio de datos de referencia","Cambio de datos inmediato","No","Menos de 1 hora","No apliqué mensajería",5,"Depende del costo/urgencia.","Más de 1 semana","Me presenté, solicité servicio al cliente, expuse mi problema y resolvieron","Casi ninguno"
9/17/2025 21:08:00,"25–34","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","Agente humano",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Más o menos ","Largos tiempos de espera para atención telefónica"
9/17/2025 21:09:21,"25–34","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","Más de 1 vez por mes","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","1–3 días","No apliqué mensajería",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas",,"Velocidad inferior a lo contratado, Visitas técnicas demoradas o no resuelven"
9/17/2025 21:18:41,"25–34","Zona urbana","Internet residencial","Avanzado","Llamada telefónica","1 vez cada 4–12 meses","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","4–7 días","No recuerdo",3,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente","Problema, reporte, asistencia, cambio de equipo, solución ","Sin servicio / corte total"
9/17/2025 21:23:47,"25–34","Zona urbana","Internet residencial","Avanzado","Llamada telefónica","Más de 1 vez por mes","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","4–7 días","Bot",3,"No, prefiero convivir con el problema y no contactar porque considero que no resolverán.","1–24 horas","llame, me contestaron, no resolvieron, volvi a llamar, insisti, amenace con cancelar servicio, me solucionaron","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Largos tiempos de espera para atención telefónica, Visitas técnicas demoradas o no resuelven"
9/17/2025 21:28:33,"25–34","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Avanzado","Llamada telefónica","1 vez cada 1–3 meses","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","1–3 días","No apliqué mensajería",3,"No, intentaré repararlo por mi cuenta antes de contactar.","1–24 horas",,"Sin servicio / corte total, Intermitencia / desconexiones frecuentes"
9/17/2025 21:31:36,"25–34","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","4–7 días","No apliqué mensajería",1,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Se fue el inter, reinicie router, no volvió el internet, llame, espere al técnico, llame más veces para hacer presión, vino el técnico y volvió el internet","Sin servicio / corte total"
9/17/2025 21:32:36,"18–24","Zona urbana","Internet residencial","Intermedio","Mensajería (WhatsApp u otro)","Menos de 1 vez al año","Problema de facturación / cobro incorrecto","Compensación / ajuste en factura","No","Más de 7 días","Bot",3,"Depende del costo/urgencia.","Más de 1 semana",,"Problemas de facturación / cobros erróneos, Problemas de configuración de equipos en casa"
9/17/2025 21:53:34,"18–24","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","Menos de 1 vez al año","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","1–3 días","Agente humano",4,"Depende del costo/urgencia.","Más de 1 semana","Buena atención ","Sin servicio / corte total"
9/17/2025 21:54:11,"25–34","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Problema en línea fija (no hay tono)","Programaron visita técnica (técnico presencial)","Sí","1–3 días","No apliqué mensajería",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Llamada, programación visita, reparación","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/17/2025 21:58:22,"25–34","Zona urbana","Internet residencial","Avanzado","Mensajería (WhatsApp u otro)","1 vez cada 1–3 meses","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","No","1–24 horas","Bot",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora",,"Intermitencia / desconexiones frecuentes, Visitas técnicas demoradas o no resuelven"
