"Pregunta_1","Pregunta_2","Pregunta_3","Pregunta_4","Pregunta_5","Pregunta_6","Pregunta_7","Pregunta_8","Pregunta_9","Pregunta_10","Pregunta_11","Pregunta_12","Pregunta_13","Pregunta_14","Pregunta_15","Pregunta_16","Pregunta_17"
9/17/2025 22:12:33,"35–44","Zona urbana","Telefonía móvil","Básico","Llamada telefónica","Menos de 1 vez al año","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","Menos de 1 hora","Agente humano",5,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente","Me resolvieron el programa","Intermitencia / desconexiones frecuentes"
9/17/2025 22:13:59,"25–34","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Intermedio","Llamada telefónica","1 vez cada 1–3 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","Sí","1–24 horas","Bot",1,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Tuve que llamar 5 veces para ser atendido y se tardaron 3 a 5 dias en venir a mi casa y ver por que el Internet estaba lento y para repararlo se tardaron toda una mañana y tuve que pedir permiso en el trabajo.","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Largos tiempos de espera para atención telefónica, Problemas de configuración de equipos en casa"
9/17/2025 22:14:59,"18–24","Zona urbana","Internet residencial","Intermedio","Presencial en sucursal","Nunca","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","1–24 horas","No apliqué mensajería",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","En el momento que se detecto el problema se llamo, al ver que era un problema más técnico hicieron la visita y era el equipo","Velocidad inferior a lo contratado"
9/17/2025 22:48:19,"35–44","Zona urbana","Internet residencial","Intermedio","Presencial en sucursal","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","1–3 días","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Llamada - revisión técnica remota - cita con técnico - visita del técnico. ","Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/17/2025 22:54:43,"25–34","Zona rural","Internet residencial, Telefonía móvil","Avanzado","Llamada telefónica","Menos de 1 vez al año","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","Menos de 1 hora","No apliqué mensajería",5,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","El internet dejo de funcionar, hice una llamada, espere un momento y volvió a funcionar. ","Sin servicio / corte total"
9/17/2025 23:04:59,"45–54","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Intermedio","Chat en sitio web","Nunca","Problema en línea fija (no hay tono)","Reemplazo de equipo / recolección en sucursal","No","1–24 horas","Agente humano",5,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente","Rapido","Ninguna "
9/17/2025 23:23:13,"25–34","Zona urbana","Internet residencial, Telefonía móvil","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","Bot",4,"Depende del costo/urgencia.","1–7 días",,"Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/17/2025 23:32:54,"25–34","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","No apliqué mensajería",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Llame ya que teníamos bajo rendimiento en el servicio y solo reiniciaron desde la central y estuve pendiente de las indicaciones ","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/17/2025 23:38:44,"18–24","Zona urbana","Internet residencial, Telefonía móvil","Intermedio","Llamada telefónica","Menos de 1 vez al año","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","1–3 días","No apliqué mensajería",4,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente",,"Problemas de configuración de equipos en casa"
9/17/2025 23:46:54,"25–34","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 1–3 meses","Problema de facturación / cobro incorrecto","Compensación / ajuste en factura","No","1–3 días","Bot",3,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente",,"Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Problemas de facturación / cobros erróneos"
9/17/2025 23:47:58,"25–34","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 1–3 meses","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","1–24 horas","Agente humano",3,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Lento","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Visitas técnicas demoradas o no resuelven"
9/18/2025 0:14:37,"18–24","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Avanzado","Llamada telefónica","1 vez cada 4–12 meses","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","1–24 horas","No apliqué mensajería",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Espera-llamada de llegada-llegada-diagnostico-arreglo","Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/18/2025 2:57:36,"25–34","Zona urbana","Internet residencial","Avanzado","Llamada telefónica","Nunca","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","1–3 días","No recuerdo",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas",,"ninguno en varios años"
9/18/2025 5:38:32,"25–34","Zona urbana","Internet residencial, Telefonía fija","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","Sí","4–7 días","Bot",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","La velocidad del Internet era demasiado baja de lo q se adquirió, y a veces no había nada de Internet y se tardaron como 5 días en venir y resolver","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Problemas de facturación / cobros erróneos, Largos tiempos de espera para atención telefónica, Visitas técnicas demoradas o no resuelven, Problemas de configuración de equipos en casa"
9/18/2025 5:55:29,"25–34","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 1–3 meses","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","Más de 7 días","No apliqué mensajería",2,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Cuando inicio hice una llamada a servicio al cliente, estuve llamando muy a menudo hasta que ellos me brindaron un técnico para que revisaran y resolvieran el origen del problema ","Sin servicio / corte total, Velocidad inferior a lo contratado"
9/18/2025 5:59:32,"25–34","Zona urbana","Internet residencial, Telefonía móvil","Avanzado","Llamada telefónica","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","1–3 días",,,"No, intentaré repararlo por mi cuenta antes de contactar.","1–24 horas",,"Intermitencia / desconexiones frecuentes, Visitas técnicas demoradas o no resuelven, Problemas de configuración de equipos en casa"
9/18/2025 6:37:10,"25–34","Zona rural","Internet residencial","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Contrato finalizado ","Renovar contrato ","No","No se ha resuelto aún","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Mi contrato de Internet caducó y aun no me dan un mejor plan que el anterior ","Velocidad inferior a lo contratado, Problemas de configuración de equipos en casa"
9/18/2025 6:40:55,"18–24","Zona urbana","Internet residencial","Avanzado","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","Sí","1–24 horas","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Fue intermedio por que en todos que me contestaban y en venir a mi hogar a resolverlo se tardo medio ","Intermitencia / desconexiones frecuentes"
9/18/2025 6:48:50,"25–34","Zona urbana","Internet residencial, Telefonía fija","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Fallo en equipo (router, módem)","Solución remota resuelta (configuración, reinicio, instrucción)","No","Menos de 1 hora","Bot",3,"No, intentaré repararlo por mi cuenta antes de contactar.","1–24 horas","Dectectar el problema, intentar solucionarlo, hacer la llamada, esperar por un agente en linea, seguir los pasos que dice el agente, se soluciona el problema, fin","Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/18/2025 7:09:53,"25–34","Zona urbana","Internet residencial","Intermedio","Chat en sitio web","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","Menos de 1 hora","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Baja velocidad 
Escribir a chat de Tigo
Conversación con agente de Tigo
Reiniciar el router 
Problema resuelto ","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/18/2025 7:45:24,"25–34","Zona urbana","Internet residencial","Intermedio","Presencial en sucursal","Más de 1 vez por mes","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","No se ha resuelto aún","No apliqué mensajería",3,"No, intentaré repararlo por mi cuenta antes de contactar.","Más de 1 semana",,"Intermitencia / desconexiones frecuentes, Largos tiempos de espera para atención telefónica, Visitas técnicas demoradas o no resuelven"
9/18/2025 7:48:38,"55–64","Zona urbana","Internet residencial, Telefonía móvil","Intermedio","Llamada telefónica","Menos de 1 vez al año","Fallo en equipo (router, módem)","Programaron visita técnica (técnico presencial)","No","Menos de 1 hora","No apliqué mensajería",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Sencillo pero la espera de la visita demoró varios dias","Sin servicio / corte total"
9/18/2025 8:48:54,"18–24","Zona urbana","Internet residencial, Telefonía móvil","Intermedio","Llamada telefónica","Menos de 1 vez al año","Problema de facturación / cobro incorrecto","Compensación / ajuste en factura","No","1–24 horas","No apliqué mensajería",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–7 días",,"Problemas de facturación / cobros erróneos"
9/18/2025 9:07:05,"18–24","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Avanzado","Llamada telefónica","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","Menos de 1 hora","Bot",2,"Sí, volvería a contactar al servicio de atención al cliente.","Más de 1 semana",,"Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/18/2025 9:11:57,"55–64","Zona urbana","Internet residencial","Básico","Mensajería (WhatsApp u otro)","Nunca","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","1–24 horas","Agente humano",2,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas",,"Intermitencia / desconexiones frecuentes"
9/18/2025 9:24:15,"18–24","Zona urbana","Internet residencial, Telefonía móvil","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 1–3 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","4–7 días","Bot",3,"No, intentaré repararlo por mi cuenta antes de contactar.","Más de 1 semana",,"Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Visitas técnicas demoradas o no resuelven"
9/18/2025 9:35:09,"25–34","Zona rural","Internet residencial","Intermedio","Llamada telefónica","Menos de 1 vez al año","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–3 días",,4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas","Se contacto al servicio al cliente tomo un tiempo que atendieran, tomaron el caso asignaron numero, dieron instrucciones para probar si el fallo era en casa, dijeron que pasarían el caso a un técnico superior hasta ese punto llegó la llamada. Horas después volvieron llamaron de la empresa de servicios para comprobar si ya está funcionando de nuevo y si ya había retornado el servicio","Sin servicio / corte total"
9/18/2025 9:42:09,"45–54","Zona urbana","Internet residencial","Intermedio","Mensajería (WhatsApp u otro)","Menos de 1 vez al año","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","1–24 horas","Agente humano",5,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente","Contacte por WhatsApp y al día siguiente vino el técnico ","Sin servicio / corte total"
9/18/2025 9:44:23,"18–24","Zona urbana","Internet residencial","Intermedio","Mensajería (WhatsApp u otro)","Más de 1 vez por mes","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","Tal vez","1–24 horas","Bot",4,"Depende del costo/urgencia.","Inmediatamente",,"Intermitencia / desconexiones frecuentes"
9/18/2025 9:57:12,"35–44","Zona urbana","Internet residencial, Telefonía fija","Intermedio","Mensajería (WhatsApp u otro)","Menos de 1 vez al año","Problema en línea fija (no hay tono)","Programaron visita técnica (técnico presencial)","Sí","1–24 horas","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","Más de 1 semana","Contacte un asesor de atención al cliente, expuse mi problema, luego se intento solucionar de manera virtual siguiendo algunos pasos, añ final se programo la visita de un técnico ","Problemas de configuración de equipos en casa"
9/18/2025 10:36:14,"18–24","Zona urbana","Internet residencial, Telefonía fija","Básico","Llamada telefónica","Menos de 1 vez al año","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","Menos de 1 hora","No apliqué mensajería",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora",,"Velocidad inferior a lo contratado"
9/18/2025 10:59:47,"18–24","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","Menos de 1 hora","Agente humano",4,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","Fue agradable","Intermitencia / desconexiones frecuentes"
9/18/2025 11:47:02,"25–34","Zona urbana","Internet residencial","Básico","Presencial en sucursal","Menos de 1 vez al año","Baja velocidad / Intermitencia","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","No recuerdo",3,"Sí, volvería a contactar al servicio de atención al cliente.","Menos de 1 hora","estresante","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/18/2025 12:51:56,"25–34","Zona urbana","Internet residencial","Avanzado","Mensajería (WhatsApp u otro)","1 vez cada 1–3 meses","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–24 horas","Agente humano",3,"Depende del costo/urgencia.","Menos de 1 hora","Se reporto el problema, luego de contactar la primera vez con atencion al cliente el problema no mejoro, hasta que se hablo por segunda vez","Sin servicio / corte total, Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
9/18/2025 15:19:05,"25–34","Zona urbana","Internet residencial, Telefonía móvil","Intermedio","Llamada telefónica","Más de 1 vez por mes","Corte de servicio / Sin internet","Programaron visita técnica (técnico presencial)","Sí","1–24 horas","No apliqué mensajería",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–7 días",,"Sin servicio / corte total, Intermitencia / desconexiones frecuentes, Largos tiempos de espera para atención telefónica, Visitas técnicas demoradas o no resuelven"
9/18/2025 17:53:36,"35–44","Zona urbana","Internet residencial, Telefonía móvil","Básico","Mensajería (WhatsApp u otro)","Menos de 1 vez al año","Problema en línea fija (no hay tono)","Solución remota resuelta (configuración, reinicio, instrucción)",,"No se ha resuelto aún","Agente humano",3,"No, prefiero convivir con el problema y no contactar porque considero que no resolverán.","1–7 días",,
9/18/2025 19:24:46,"18–24","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–3 días","No apliqué mensajería",3,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas",,"Sin servicio / corte total, Problemas de facturación / cobros erróneos"
9/19/2025 6:32:25,"18–24","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","1 vez cada 1–3 meses","Baja velocidad / Intermitencia","Programaron visita técnica (técnico presencial)","Sí","1–3 días","No recuerdo",3,"No, intentaré repararlo por mi cuenta antes de contactar.","1–7 días","Llamada -> Intento de resolucion remota que no funcionó -> programación de visita técnica -> Resolución","Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes, Largos tiempos de espera para atención telefónica"
9/20/2025 7:40:32,"35–44","Zona urbana","Internet residencial, Telefonía móvil, Telefonía fija","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Problema de facturación / cobro incorrecto","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–3 días","Agente humano",5,"No, intentaré repararlo por mi cuenta antes de contactar.","Menos de 1 hora","recibi recibo con cobro excesivo - llame a SC - me resolvieron de inmediato","Velocidad inferior a lo contratado, Visitas técnicas demoradas o no resuelven, Problemas de configuración de equipos en casa"
9/20/2025 9:16:27,"35–44","Zona urbana","Internet residencial, Telefonía móvil","Intermedio","Mensajería (WhatsApp u otro)","1 vez cada 4–12 meses","Corte de servicio / Sin internet","Solución remota resuelta (configuración, reinicio, instrucción)","No","1–3 días","Agente humano",5,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas",,"Sin servicio / corte total, Velocidad inferior a lo contratado, Problemas de configuración de equipos en casa"
9/20/2025 12:11:36,"18–24","Zona urbana","Internet residencial","Intermedio","Llamada telefónica","Menos de 1 vez al año","Problema de facturación / cobro incorrecto","Compensación / ajuste en factura","No","1–24 horas","Agente humano",5,"Sí, volvería a contactar al servicio de atención al cliente.","Inmediatamente","Mencioné que no se había enviado la factura del mes y que necesitaba que mandarán la información al correo electrónico registrado.","Intermitencia / desconexiones frecuentes"
9/21/2025 21:30:49,"18–24","Zona rural","Telefonía móvil","Básico","Presencial en sucursal","1 vez cada 4–12 meses","Fallo en equipo (router, módem)","Reemplazo de equipo / recolección en sucursal","No","1–3 días","No recuerdo",4,"Sí, volvería a contactar al servicio de atención al cliente.","1–24 horas",,"Velocidad inferior a lo contratado, Intermitencia / desconexiones frecuentes"
